Sr No,Date,Question no,Response,Result,Correct response if wrong,Mistake type,Comments,Section,Type,Book,Time taken
1,10/21/13,1,B,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
2,10/21/13,2,C,Correct,,,,Critical Reasoning,Weaken,Official Guide 12th Edition,
3,10/21/13,3,A,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
4,10/21/13,4,D,Correct,,,,Critical Reasoning,Weaken,Official Guide 12th Edition,
5,10/21/13,5,D,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
6,10/21/13,6,E,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
7,10/21/13,7,A,Correct,,,,Critical Reasoning,Evaluate,Official Guide 12th Edition,
8,10/21/13,8,A,Correct,,,,Critical Reasoning,Flaw,Official Guide 12th Edition,
9,10/21/13,9,D,Incorrect,B,Silly mistake,Missed out on close answers,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
10,10/21/13,10,D,Correct,,,,Critical Reasoning,Evaluate,Official Guide 12th Edition,
11,10/22/13,11,E,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
12,10/22/13,12,A,Correct,,,,Critical Reasoning,Complete Argument,Official Guide 12th Edition,
13,10/22/13,13,C,Incorrect,E,Concept mistake,Wrong assumption,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
14,10/22/13,14,D,Incorrect,A,Silly mistake,Did not read the answers correctly,Critical Reasoning,Strengthen,Official Guide 12th Edition,
15,10/22/13,15,D,Correct,,,,Critical Reasoning,Evaluate,Official Guide 12th Edition,
16,10/22/13,16,B,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
17,10/22/13,17,E,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
18,10/22/13,18,C,Correct,,,,Critical Reasoning,Describe Role,Official Guide 12th Edition,
19,10/22/13,19,E,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
20,10/22/13,20,A,Incorrect,D,Silly mistake,Wrong assumption,Critical Reasoning,Weaken,Official Guide 12th Edition,
21,10/24/13,21,B,Correct,,,,Critical Reasoning,Assumption,Official Guide 12th Edition,
22,10/24/13,22,C,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
23,10/24/13,23,D,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
24,10/24/13,24,E,Incorrect,C,Silly mistake,Wrong assumption,Critical Reasoning,Explain Discrepancy,Official Guide 12th Edition,
25,10/24/13,25,A,Correct,,,,Critical Reasoning,Weaken,Official Guide 12th Edition,
26,10/24/13,26,C,Correct,,,,Critical Reasoning,Inference,Official Guide 12th Edition,
27,10/24/13,27,B,Correct,,,,Critical Reasoning,Evaluate,Official Guide 12th Edition,
28,10/24/13,28,C,Correct,,,,Critical Reasoning,Describe Role,Official Guide 12th Edition,
